userId	geneSymbol	geneName	entrezgene	gLink
ENSMUSG00000001604	Tcea3	transcription elongation factor A (SII), 3	21401	https://www.ncbi.nlm.nih.gov/gene/?term=21401
ENSMUSG00000001865	Cpa3	carboxypeptidase A3, mast cell	12873	https://www.ncbi.nlm.nih.gov/gene/?term=12873
ENSMUSG00000010064	Slc38a3	solute carrier family 38, member 3	76257	https://www.ncbi.nlm.nih.gov/gene/?term=76257
ENSMUSG00000015396	Cd83	CD83 antigen	12522	https://www.ncbi.nlm.nih.gov/gene/?term=12522
ENSMUSG00000016756	Cmah	cytidine monophospho-N-acetylneuraminic acid hydroxylase	12763	https://www.ncbi.nlm.nih.gov/gene/?term=12763
ENSMUSG00000019761	Krt10	keratin 10	16661	https://www.ncbi.nlm.nih.gov/gene/?term=16661
ENSMUSG00000020137	Thap2	THAP domain containing, apoptosis associated protein 2	66816	https://www.ncbi.nlm.nih.gov/gene/?term=66816
ENSMUSG00000022546	Gpt	glutamic pyruvic transaminase, soluble	76282	https://www.ncbi.nlm.nih.gov/gene/?term=76282
ENSMUSG00000024011	Pi16	peptidase inhibitor 16	74116	https://www.ncbi.nlm.nih.gov/gene/?term=74116
ENSMUSG00000024234	Mtpap	mitochondrial poly(A) polymerase	67440	https://www.ncbi.nlm.nih.gov/gene/?term=67440
ENSMUSG00000024672	Ms4a7	membrane-spanning 4-domains, subfamily A, member 7	109225	https://www.ncbi.nlm.nih.gov/gene/?term=109225
ENSMUSG00000025270	Alas2	aminolevulinic acid synthase 2, erythroid	11656	https://www.ncbi.nlm.nih.gov/gene/?term=11656
ENSMUSG00000026090	2010300C02Rik	RIKEN cDNA 2010300C02 gene	72097	https://www.ncbi.nlm.nih.gov/gene/?term=72097
ENSMUSG00000026430	Rassf5	Ras association (RalGDS/AF-6) domain family member 5	54354	https://www.ncbi.nlm.nih.gov/gene/?term=54354
ENSMUSG00000027380	Acoxl	acyl-Coenzyme A oxidase-like	74121	https://www.ncbi.nlm.nih.gov/gene/?term=74121
ENSMUSG00000029086	Prom1	prominin 1	19126	https://www.ncbi.nlm.nih.gov/gene/?term=19126
ENSMUSG00000031808	Slc27a1	solute carrier family 27 (fatty acid transporter), member 1	26457	https://www.ncbi.nlm.nih.gov/gene/?term=26457
ENSMUSG00000034607	Pof1b	premature ovarian failure 1B	69693	https://www.ncbi.nlm.nih.gov/gene/?term=69693
ENSMUSG00000037443	Cep85	centrosomal protein 85	70012	https://www.ncbi.nlm.nih.gov/gene/?term=70012
ENSMUSG00000038763	Alpk3	alpha-kinase 3	116904	https://www.ncbi.nlm.nih.gov/gene/?term=116904
ENSMUSG00000040229	Gpr34	G protein-coupled receptor 34	23890	https://www.ncbi.nlm.nih.gov/gene/?term=23890
ENSMUSG00000041920	Slc16a6	solute carrier family 16 (monocarboxylic acid transporters), member 6	104681	https://www.ncbi.nlm.nih.gov/gene/?term=104681
ENSMUSG00000043008	Klhl6	kelch-like 6	239743	https://www.ncbi.nlm.nih.gov/gene/?term=239743
ENSMUSG00000046731	Kctd11	potassium channel tetramerisation domain containing 11	216858	https://www.ncbi.nlm.nih.gov/gene/?term=216858
ENSMUSG00000051351	Zfp46	zinc finger protein 46	22704	https://www.ncbi.nlm.nih.gov/gene/?term=22704
ENSMUSG00000052305	Hbb-b1	hemoglobin, beta adult major chain	15129	https://www.ncbi.nlm.nih.gov/gene/?term=15129
ENSMUSG00000052305	Hbb-bs	hemoglobin, beta adult s chain	100503605	https://www.ncbi.nlm.nih.gov/gene/?term=100503605
ENSMUSG00000061397	Krt79	keratin 79	223917	https://www.ncbi.nlm.nih.gov/gene/?term=223917
ENSMUSG00000062345	Serpinb2	serine (or cysteine) peptidase inhibitor, clade B, member 2	18788	https://www.ncbi.nlm.nih.gov/gene/?term=18788
ENSMUSG00000067786	Nnat	neuronatin	18111	https://www.ncbi.nlm.nih.gov/gene/?term=18111
ENSMUSG00000069917	Hba-a2	hemoglobin alpha, adult chain 2	110257	https://www.ncbi.nlm.nih.gov/gene/?term=110257
ENSMUSG00000069919	Hba-a1	hemoglobin alpha, adult chain 1	15122	https://www.ncbi.nlm.nih.gov/gene/?term=15122
ENSMUSG00000072692	Rpl37rt	ribosomal protein L37, retrotransposed	100502825	https://www.ncbi.nlm.nih.gov/gene/?term=100502825
ENSMUSG00000073877	Gm13306	predicted gene 13306	100039863	https://www.ncbi.nlm.nih.gov/gene/?term=100039863
ENSMUSG00000073940	Hbb-bt	hemoglobin, beta adult t chain	101488143	https://www.ncbi.nlm.nih.gov/gene/?term=101488143
ENSMUSG00000079013	Serpina3j	serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3J	238395	https://www.ncbi.nlm.nih.gov/gene/?term=238395
ENSMUSG00000079355	Ackr4	atypical chemokine receptor 4	252837	https://www.ncbi.nlm.nih.gov/gene/?term=252837
ENSMUSG00000079465	Col4a3	collagen, type IV, alpha 3	12828	https://www.ncbi.nlm.nih.gov/gene/?term=12828
