userId	geneSymbol	geneName	entrezgene	gLink
Angptl4	Angptl4	angiopoietin-like 4	57875	https://www.ncbi.nlm.nih.gov/gene/?term=57875
Npas2	Npas2	neuronal PAS domain protein 2	18143	https://www.ncbi.nlm.nih.gov/gene/?term=18143
Ppp1r12b	Ppp1r12b	protein phosphatase 1, regulatory subunit 12B	329251	https://www.ncbi.nlm.nih.gov/gene/?term=329251
Hip1	Hip1	huntingtin interacting protein 1	215114	https://www.ncbi.nlm.nih.gov/gene/?term=215114
Atp2a3	Atp2a3	ATPase, Ca++ transporting, ubiquitous	53313	https://www.ncbi.nlm.nih.gov/gene/?term=53313
Myom1	Myom1	myomesin 1	17929	https://www.ncbi.nlm.nih.gov/gene/?term=17929
Abca8a	Abca8a	ATP-binding cassette, sub-family A (ABC1), member 8a	217258	https://www.ncbi.nlm.nih.gov/gene/?term=217258
Tgm2	Tgm2	transglutaminase 2, C polypeptide	21817	https://www.ncbi.nlm.nih.gov/gene/?term=21817
Susd2	Susd2	sushi domain containing 2	71733	https://www.ncbi.nlm.nih.gov/gene/?term=71733
Sort1	Sort1	sortilin 1	20661	https://www.ncbi.nlm.nih.gov/gene/?term=20661
Trim2	Trim2	tripartite motif-containing 2	80890	https://www.ncbi.nlm.nih.gov/gene/?term=80890
Adamtsl1	Adamtsl1	ADAMTS-like 1	77739	https://www.ncbi.nlm.nih.gov/gene/?term=77739
Cpt1a	Cpt1a	carnitine palmitoyltransferase 1a, liver	12894	https://www.ncbi.nlm.nih.gov/gene/?term=12894
Ppp6r1	Ppp6r1	protein phosphatase 6, regulatory subunit 1	243819	https://www.ncbi.nlm.nih.gov/gene/?term=243819
Tg	Tg	thyroglobulin	21819	https://www.ncbi.nlm.nih.gov/gene/?term=21819
Synpo2	Synpo2	synaptopodin 2	118449	https://www.ncbi.nlm.nih.gov/gene/?term=118449
Gm15725	Gm15725	actin, beta, cytoplasmic (Actb) pseudogene	100047966	https://www.ncbi.nlm.nih.gov/gene/?term=100047966
Mrvi1	Mrvi1	MRV integration site 1	17540	https://www.ncbi.nlm.nih.gov/gene/?term=17540
Spty2d1	Spty2d1	SPT2, Suppressor of Ty, domain containing 1 (S. cerevisiae)	101685	https://www.ncbi.nlm.nih.gov/gene/?term=101685
Hspa12a	Hspa12a	heat shock protein 12A	73442	https://www.ncbi.nlm.nih.gov/gene/?term=73442
Col5a3	Col5a3	collagen, type V, alpha 3	53867	https://www.ncbi.nlm.nih.gov/gene/?term=53867
Atp7a	Atp7a	ATPase, Cu++ transporting, alpha polypeptide	11977	https://www.ncbi.nlm.nih.gov/gene/?term=11977
Mical2	Mical2	microtubule associated monooxygenase, calponin and LIM domain containing 2	320878	https://www.ncbi.nlm.nih.gov/gene/?term=320878
Vcl	Vcl	vinculin	22330	https://www.ncbi.nlm.nih.gov/gene/?term=22330
Atp10a	Atp10a	ATPase, class V, type 10A	11982	https://www.ncbi.nlm.nih.gov/gene/?term=11982
Abr	Abr	active BCR-related gene	109934	https://www.ncbi.nlm.nih.gov/gene/?term=109934
Cspg4	Cspg4	chondroitin sulfate proteoglycan 4	121021	https://www.ncbi.nlm.nih.gov/gene/?term=121021
Zbtb38	Zbtb38	zinc finger and BTB domain containing 38	245007	https://www.ncbi.nlm.nih.gov/gene/?term=245007
Gcc1	Gcc1	golgi coiled coil 1	74375	https://www.ncbi.nlm.nih.gov/gene/?term=74375
Snrnp200	Snrnp200	small nuclear ribonucleoprotein 200 (U5)	320632	https://www.ncbi.nlm.nih.gov/gene/?term=320632
Galnt4	Galnt4	polypeptide N-acetylgalactosaminyltransferase 4	14426	https://www.ncbi.nlm.nih.gov/gene/?term=14426
Matn2	Matn2	matrilin 2	17181	https://www.ncbi.nlm.nih.gov/gene/?term=17181
Pde4dip	Pde4dip	phosphodiesterase 4D interacting protein (myomegalin)	83679	https://www.ncbi.nlm.nih.gov/gene/?term=83679
Stard13	Stard13	StAR-related lipid transfer (START) domain containing 13	243362	https://www.ncbi.nlm.nih.gov/gene/?term=243362
Xirp1	Xirp1	xin actin-binding repeat containing 1	22437	https://www.ncbi.nlm.nih.gov/gene/?term=22437
Fam13a	Fam13a	family with sequence similarity 13, member A	58909	https://www.ncbi.nlm.nih.gov/gene/?term=58909
Mtmr3	Mtmr3	myotubularin related protein 3	74302	https://www.ncbi.nlm.nih.gov/gene/?term=74302
Rassf4	Rassf4	Ras association (RalGDS/AF-6) domain family member 4	213391	https://www.ncbi.nlm.nih.gov/gene/?term=213391
2900026A02Rik	2900026A02Rik	RIKEN cDNA 2900026A02 gene	243219	https://www.ncbi.nlm.nih.gov/gene/?term=243219
Gab2	Gab2	growth factor receptor bound protein 2-associated protein 2	14389	https://www.ncbi.nlm.nih.gov/gene/?term=14389
Arhgap35	Arhgap35	Rho GTPase activating protein 35	232906	https://www.ncbi.nlm.nih.gov/gene/?term=232906
Flt4	Flt4	FMS-like tyrosine kinase 4	14257	https://www.ncbi.nlm.nih.gov/gene/?term=14257
Ppip5k2	Ppip5k2	diphosphoinositol pentakisphosphate kinase 2	227399	https://www.ncbi.nlm.nih.gov/gene/?term=227399
Ppp1r12a	Ppp1r12a	protein phosphatase 1, regulatory subunit 12A	17931	https://www.ncbi.nlm.nih.gov/gene/?term=17931
Ifi205	Ifi205	interferon activated gene 205	226695	https://www.ncbi.nlm.nih.gov/gene/?term=226695
Aff1	Aff1	AF4/FMR2 family, member 1	17355	https://www.ncbi.nlm.nih.gov/gene/?term=17355
Lpp	Lpp	LIM domain containing preferred translocation partner in lipoma	210126	https://www.ncbi.nlm.nih.gov/gene/?term=210126
Dgkh	Dgkh	diacylglycerol kinase, eta	380921	https://www.ncbi.nlm.nih.gov/gene/?term=380921
Asb4	Asb4	ankyrin repeat and SOCS box-containing 4	65255	https://www.ncbi.nlm.nih.gov/gene/?term=65255
Utrn	Utrn	utrophin	22288	https://www.ncbi.nlm.nih.gov/gene/?term=22288
Tbx3	Tbx3	T-box 3	21386	https://www.ncbi.nlm.nih.gov/gene/?term=21386
Fyco1	Fyco1	FYVE and coiled-coil domain containing 1	17281	https://www.ncbi.nlm.nih.gov/gene/?term=17281
Thsd4	Thsd4	thrombospondin, type I, domain containing 4	207596	https://www.ncbi.nlm.nih.gov/gene/?term=207596
Cep104	Cep104	centrosomal protein 104	230967	https://www.ncbi.nlm.nih.gov/gene/?term=230967
Adamts1	Adamts1	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1	11504	https://www.ncbi.nlm.nih.gov/gene/?term=11504
Wdfy3	Wdfy3	WD repeat and FYVE domain containing 3	72145	https://www.ncbi.nlm.nih.gov/gene/?term=72145
Zmiz1	Zmiz1	zinc finger, MIZ-type containing 1	328365	https://www.ncbi.nlm.nih.gov/gene/?term=328365
Myo9b	Myo9b	myosin IXb	17925	https://www.ncbi.nlm.nih.gov/gene/?term=17925
Adamts15	Adamts15	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 15	235130	https://www.ncbi.nlm.nih.gov/gene/?term=235130
