userId	geneSymbol	geneName	entrezgene	gLink
Scml2	Scml2	Scm polycomb group protein like 2	107815	https://www.ncbi.nlm.nih.gov/gene/?term=107815
Grik3	Grik3	glutamate receptor, ionotropic, kainate 3	14807	https://www.ncbi.nlm.nih.gov/gene/?term=14807
Tmem25	Tmem25	transmembrane protein 25	71687	https://www.ncbi.nlm.nih.gov/gene/?term=71687
Supt5	Supt5	suppressor of Ty 5	20924	https://www.ncbi.nlm.nih.gov/gene/?term=20924
Gab2	Gab2	growth factor receptor bound protein 2-associated protein 2	14389	https://www.ncbi.nlm.nih.gov/gene/?term=14389
Myo9b	Myo9b	myosin IXb	17925	https://www.ncbi.nlm.nih.gov/gene/?term=17925
Dgkq	Dgkq	diacylglycerol kinase, theta	110524	https://www.ncbi.nlm.nih.gov/gene/?term=110524
Zmiz1	Zmiz1	zinc finger, MIZ-type containing 1	328365	https://www.ncbi.nlm.nih.gov/gene/?term=328365
Syn2	Syn2	synapsin II	20965	https://www.ncbi.nlm.nih.gov/gene/?term=20965
Card14	Card14	caspase recruitment domain family, member 14	170720	https://www.ncbi.nlm.nih.gov/gene/?term=170720
Aph1a	Aph1a	aph1 homolog A, gamma secretase subunit	226548	https://www.ncbi.nlm.nih.gov/gene/?term=226548
Stard13	Stard13	StAR-related lipid transfer (START) domain containing 13	243362	https://www.ncbi.nlm.nih.gov/gene/?term=243362
Pipox	Pipox	pipecolic acid oxidase	19193	https://www.ncbi.nlm.nih.gov/gene/?term=19193
Nbas	Nbas	neuroblastoma amplified sequence	71169	https://www.ncbi.nlm.nih.gov/gene/?term=71169
Cluh	Cluh	clustered mitochondria (cluA/CLU1) homolog	74148	https://www.ncbi.nlm.nih.gov/gene/?term=74148
Atp2a3	Atp2a3	ATPase, Ca++ transporting, ubiquitous	53313	https://www.ncbi.nlm.nih.gov/gene/?term=53313
Ngb	Ngb	neuroglobin	64242	https://www.ncbi.nlm.nih.gov/gene/?term=64242
Elovl2	Elovl2	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 2	54326	https://www.ncbi.nlm.nih.gov/gene/?term=54326
Lrch3	Lrch3	leucine-rich repeats and calponin homology (CH) domain containing 3	70144	https://www.ncbi.nlm.nih.gov/gene/?term=70144
Ubr2	Ubr2	ubiquitin protein ligase E3 component n-recognin 2	224826	https://www.ncbi.nlm.nih.gov/gene/?term=224826
Xdh	Xdh	xanthine dehydrogenase	22436	https://www.ncbi.nlm.nih.gov/gene/?term=22436
Thada	Thada	thyroid adenoma associated	240174	https://www.ncbi.nlm.nih.gov/gene/?term=240174
Cep192	Cep192	centrosomal protein 192	70799	https://www.ncbi.nlm.nih.gov/gene/?term=70799
Gpam	Gpam	glycerol-3-phosphate acyltransferase, mitochondrial	14732	https://www.ncbi.nlm.nih.gov/gene/?term=14732
Hspa12a	Hspa12a	heat shock protein 12A	73442	https://www.ncbi.nlm.nih.gov/gene/?term=73442
Fyco1	Fyco1	FYVE and coiled-coil domain containing 1	17281	https://www.ncbi.nlm.nih.gov/gene/?term=17281
Gnl3l	Gnl3l	guanine nucleotide binding protein-like 3 (nucleolar)-like	237107	https://www.ncbi.nlm.nih.gov/gene/?term=237107
Atp10a	Atp10a	ATPase, class V, type 10A	11982	https://www.ncbi.nlm.nih.gov/gene/?term=11982
Myo5b	Myo5b	myosin VB	17919	https://www.ncbi.nlm.nih.gov/gene/?term=17919
Cacna1s	Cacna1s	calcium channel, voltage-dependent, L type, alpha 1S subunit	12292	https://www.ncbi.nlm.nih.gov/gene/?term=12292
Kif5c	Kif5c	kinesin family member 5C	16574	https://www.ncbi.nlm.nih.gov/gene/?term=16574
Galnt5	Galnt5	polypeptide N-acetylgalactosaminyltransferase 5	241391	https://www.ncbi.nlm.nih.gov/gene/?term=241391
Sec16a	Sec16a	SEC16 homolog A, endoplasmic reticulum export factor	227648	https://www.ncbi.nlm.nih.gov/gene/?term=227648
Helz2	Helz2	helicase with zinc finger 2, transcriptional coactivator	229003	https://www.ncbi.nlm.nih.gov/gene/?term=229003
