userId	geneSymbol	geneName	entrezgene	gLink
Ckmt1	Ckmt1	creatine kinase, mitochondrial 1, ubiquitous	12716	https://www.ncbi.nlm.nih.gov/gene/?term=12716
Bcl11a	Bcl11a	B cell CLL/lymphoma 11A (zinc finger protein)	14025	https://www.ncbi.nlm.nih.gov/gene/?term=14025
Timp1	Timp1	tissue inhibitor of metalloproteinase 1	21857	https://www.ncbi.nlm.nih.gov/gene/?term=21857
Irx2	Irx2	Iroquois homeobox 2	16372	https://www.ncbi.nlm.nih.gov/gene/?term=16372
Hoxc13	Hoxc13	homeobox C13	15422	https://www.ncbi.nlm.nih.gov/gene/?term=15422
Gnmt	Gnmt	glycine N-methyltransferase	14711	https://www.ncbi.nlm.nih.gov/gene/?term=14711
Rps6ka1	Rps6ka1	NA	20111	https://www.ncbi.nlm.nih.gov/gene/?term=20111
Ctse	Ctse	cathepsin E	13034	https://www.ncbi.nlm.nih.gov/gene/?term=13034
Ripk4	Ripk4	receptor-interacting serine-threonine kinase 4	72388	https://www.ncbi.nlm.nih.gov/gene/?term=72388
Mef2c	Mef2c	myocyte enhancer factor 2C	17260	https://www.ncbi.nlm.nih.gov/gene/?term=17260
Tmod4	Tmod4	tropomodulin 4	50874	https://www.ncbi.nlm.nih.gov/gene/?term=50874
Ggt1	Ggt1	gamma-glutamyltransferase 1	14598	https://www.ncbi.nlm.nih.gov/gene/?term=14598
Rps25	Rps25	ribosomal protein S25	75617	https://www.ncbi.nlm.nih.gov/gene/?term=75617
Epn3	Epn3	epsin 3	71889	https://www.ncbi.nlm.nih.gov/gene/?term=71889
Rnf112	Rnf112	ring finger protein 112	22671	https://www.ncbi.nlm.nih.gov/gene/?term=22671
Gata3	Gata3	GATA binding protein 3	14462	https://www.ncbi.nlm.nih.gov/gene/?term=14462
Mb	Mb	myoglobin	17189	https://www.ncbi.nlm.nih.gov/gene/?term=17189
Adat2	Adat2	adenosine deaminase, tRNA-specific 2	66757	https://www.ncbi.nlm.nih.gov/gene/?term=66757
