userId	geneSymbol	geneName	entrezgene	gLink
Syce2	Syce2	synaptonemal complex central element protein 2	71846	https://www.ncbi.nlm.nih.gov/gene/?term=71846
Slc1a2	Slc1a2	solute carrier family 1 (glial high affinity glutamate transporter), member 2	20511	https://www.ncbi.nlm.nih.gov/gene/?term=20511
Rps15a	Rps15a	ribosomal protein S15A	267019	https://www.ncbi.nlm.nih.gov/gene/?term=267019
Ccl8	Ccl8	chemokine (C-C motif) ligand 8	20307	https://www.ncbi.nlm.nih.gov/gene/?term=20307
Glis2	Glis2	GLIS family zinc finger 2	83396	https://www.ncbi.nlm.nih.gov/gene/?term=83396
Slc25a13	Slc25a13	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 13	50799	https://www.ncbi.nlm.nih.gov/gene/?term=50799
Dennd6b	Dennd6b	DENN/MADD domain containing 6B	69440	https://www.ncbi.nlm.nih.gov/gene/?term=69440
Birc5	Birc5	baculoviral IAP repeat-containing 5	11799	https://www.ncbi.nlm.nih.gov/gene/?term=11799
Popdc3	Popdc3	popeye domain containing 3	78977	https://www.ncbi.nlm.nih.gov/gene/?term=78977
Epyc	Epyc	epiphycan	13516	https://www.ncbi.nlm.nih.gov/gene/?term=13516
Mybpc1	Mybpc1	myosin binding protein C, slow-type	109272	https://www.ncbi.nlm.nih.gov/gene/?term=109272
Npffr1	Npffr1	neuropeptide FF receptor 1	237362	https://www.ncbi.nlm.nih.gov/gene/?term=237362
Lgr5	Lgr5	leucine rich repeat containing G protein coupled receptor 5	14160	https://www.ncbi.nlm.nih.gov/gene/?term=14160
Wif1	Wif1	Wnt inhibitory factor 1	24117	https://www.ncbi.nlm.nih.gov/gene/?term=24117
Sdc1	Sdc1	syndecan 1	20969	https://www.ncbi.nlm.nih.gov/gene/?term=20969
Tmem132e	Tmem132e	transmembrane protein 132E	270893	https://www.ncbi.nlm.nih.gov/gene/?term=270893
Aurkb	Aurkb	aurora kinase B	20877	https://www.ncbi.nlm.nih.gov/gene/?term=20877
Top2a	Top2a	topoisomerase (DNA) II alpha	21973	https://www.ncbi.nlm.nih.gov/gene/?term=21973
Coch	Coch	cochlin	12810	https://www.ncbi.nlm.nih.gov/gene/?term=12810
Eci3	Eci3	enoyl-Coenzyme A delta isomerase 3	69123	https://www.ncbi.nlm.nih.gov/gene/?term=69123
Tnfsf11	Tnfsf11	tumor necrosis factor (ligand) superfamily, member 11	21943	https://www.ncbi.nlm.nih.gov/gene/?term=21943
Krt75	Krt75	keratin 75	109052	https://www.ncbi.nlm.nih.gov/gene/?term=109052
Serinc2	Serinc2	serine incorporator 2	230779	https://www.ncbi.nlm.nih.gov/gene/?term=230779
Cdca3	Cdca3	cell division cycle associated 3	14793	https://www.ncbi.nlm.nih.gov/gene/?term=14793
Nme4	Nme4	NME/NM23 nucleoside diphosphate kinase 4	56520	https://www.ncbi.nlm.nih.gov/gene/?term=56520
Stard4	Stard4	StAR-related lipid transfer (START) domain containing 4	170459	https://www.ncbi.nlm.nih.gov/gene/?term=170459
Pmaip1	Pmaip1	phorbol-12-myristate-13-acetate-induced protein 1	58801	https://www.ncbi.nlm.nih.gov/gene/?term=58801
Lbx1	Lbx1	ladybird homeobox 1	16814	https://www.ncbi.nlm.nih.gov/gene/?term=16814
Padi3	Padi3	peptidyl arginine deiminase, type III	18601	https://www.ncbi.nlm.nih.gov/gene/?term=18601
Rps26	Rps26	ribosomal protein S26	27370	https://www.ncbi.nlm.nih.gov/gene/?term=27370
Pstpip2	Pstpip2	proline-serine-threonine phosphatase-interacting protein 2	19201	https://www.ncbi.nlm.nih.gov/gene/?term=19201
Tfap2b	Tfap2b	transcription factor AP-2 beta	21419	https://www.ncbi.nlm.nih.gov/gene/?term=21419
Msc	Msc	musculin	17681	https://www.ncbi.nlm.nih.gov/gene/?term=17681
Col19a1	Col19a1	collagen, type XIX, alpha 1	12823	https://www.ncbi.nlm.nih.gov/gene/?term=12823
Gpr39	Gpr39	G protein-coupled receptor 39	71111	https://www.ncbi.nlm.nih.gov/gene/?term=71111
Pkp1	Pkp1	plakophilin 1	18772	https://www.ncbi.nlm.nih.gov/gene/?term=18772
Mcm10	Mcm10	minichromosome maintenance 10 replication initiation factor	70024	https://www.ncbi.nlm.nih.gov/gene/?term=70024
Sapcd2	Sapcd2	suppressor APC domain containing 2	72080	https://www.ncbi.nlm.nih.gov/gene/?term=72080
Grin1	Grin1	glutamate receptor, ionotropic, NMDA1 (zeta 1)	14810	https://www.ncbi.nlm.nih.gov/gene/?term=14810
Chrna1	Chrna1	cholinergic receptor, nicotinic, alpha polypeptide 1 (muscle)	11435	https://www.ncbi.nlm.nih.gov/gene/?term=11435
Syt13	Syt13	synaptotagmin XIII	80976	https://www.ncbi.nlm.nih.gov/gene/?term=80976
Nusap1	Nusap1	nucleolar and spindle associated protein 1	108907	https://www.ncbi.nlm.nih.gov/gene/?term=108907
Tpx2	Tpx2	TPX2, microtubule-associated	72119	https://www.ncbi.nlm.nih.gov/gene/?term=72119
Syt6	Syt6	synaptotagmin VI	54524	https://www.ncbi.nlm.nih.gov/gene/?term=54524
Vcam1	Vcam1	vascular cell adhesion molecule 1	22329	https://www.ncbi.nlm.nih.gov/gene/?term=22329
Gstcd	Gstcd	glutathione S-transferase, C-terminal domain containing	67553	https://www.ncbi.nlm.nih.gov/gene/?term=67553
Dkk2	Dkk2	dickkopf WNT signaling pathway inhibitor 2	56811	https://www.ncbi.nlm.nih.gov/gene/?term=56811
Rps20	Rps20	ribosomal protein S20	67427	https://www.ncbi.nlm.nih.gov/gene/?term=67427
Tmeff1	Tmeff1	transmembrane protein with EGF-like and two follistatin-like domains 1	230157	https://www.ncbi.nlm.nih.gov/gene/?term=230157
Bend5	Bend5	BEN domain containing 5	67621	https://www.ncbi.nlm.nih.gov/gene/?term=67621
Kif2c	Kif2c	kinesin family member 2C	73804	https://www.ncbi.nlm.nih.gov/gene/?term=73804
Cdca8	Cdca8	cell division cycle associated 8	52276	https://www.ncbi.nlm.nih.gov/gene/?term=52276
Rpl22	Rpl22	ribosomal protein L22	19934	https://www.ncbi.nlm.nih.gov/gene/?term=19934
Ociad2	Ociad2	OCIA domain containing 2	433904	https://www.ncbi.nlm.nih.gov/gene/?term=433904
Fgf5	Fgf5	fibroblast growth factor 5	14176	https://www.ncbi.nlm.nih.gov/gene/?term=14176
Cxcl1	Cxcl1	chemokine (C-X-C motif) ligand 1	14825	https://www.ncbi.nlm.nih.gov/gene/?term=14825
Lmod2	Lmod2	leiomodin 2 (cardiac)	93677	https://www.ncbi.nlm.nih.gov/gene/?term=93677
Tpk1	Tpk1	thiamine pyrophosphokinase	29807	https://www.ncbi.nlm.nih.gov/gene/?term=29807
Sbk2	Sbk2	SH3-binding domain kinase family, member 2	381836	https://www.ncbi.nlm.nih.gov/gene/?term=381836
Bcl7c	Bcl7c	B cell CLL/lymphoma 7C	12055	https://www.ncbi.nlm.nih.gov/gene/?term=12055
Fgf21	Fgf21	NA	56636	https://www.ncbi.nlm.nih.gov/gene/?term=56636
Plk1	Plk1	polo like kinase 1	18817	https://www.ncbi.nlm.nih.gov/gene/?term=18817
Adam5	Adam5	a disintegrin and metallopeptidase domain 5	11499	https://www.ncbi.nlm.nih.gov/gene/?term=11499
Cdh15	Cdh15	cadherin 15	12555	https://www.ncbi.nlm.nih.gov/gene/?term=12555
Ccnb2	Ccnb2	cyclin B2	12442	https://www.ncbi.nlm.nih.gov/gene/?term=12442
Crabp1	Crabp1	cellular retinoic acid binding protein I	12903	https://www.ncbi.nlm.nih.gov/gene/?term=12903
Snap91	Snap91	synaptosomal-associated protein 91	20616	https://www.ncbi.nlm.nih.gov/gene/?term=20616
Fan1	Fan1	FANCD2/FANCI-associated nuclease 1	330554	https://www.ncbi.nlm.nih.gov/gene/?term=330554
Cxcl10	Cxcl10	chemokine (C-X-C motif) ligand 10	15945	https://www.ncbi.nlm.nih.gov/gene/?term=15945
Anln	Anln	anillin, actin binding protein	68743	https://www.ncbi.nlm.nih.gov/gene/?term=68743
